:START_ID,:END_ID,:TYPE,CreateTimeStamp,EFFDT,TERMDT,Version,Status
C0MJK8NVJRKEO6S412KHOAFR4,6RTVMKJH6F191I15E6J5ARVUOF,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,27FELAFQ7V94G01VKBKLLRID90,contains_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
27FELAFQ7V94G01VKBKLLRID90,1CAI64UESNDR90F75K8RCHSPKG,builds_table,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,7DU51P0TD87927VE5M63ESJI6U,uses_system,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
7DU51P0TD87927VE5M63ESJI6U,M1DQ9IN95AN7LIVS5AQJRVSC8,contains_database,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
M1DQ9IN95AN7LIVS5AQJRVSC8,6OJ1RV0RECF7TMUI7K8HU8UG0K,has,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,1CAI64UESNDR90F75K8RCHSPKG,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,P4GBV2JNUIHEM2AOPKKQ6U92V,contains_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,16GAHFER336GTNT752TRIN3QCP,builds_table,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,16GAHFER336GTNT752TRIN3QCP,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,2VR41GJS6B9GC9JMR4NF2IQUO1,contains_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,5506M7F37HQ62KETK36O6OMA69,builds_table,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,5506M7F37HQ62KETK36O6OMA69,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,29DUOSU1TLLFKGOP1FIP7SUO3F,contains_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
29DUOSU1TLLFKGOP1FIP7SUO3F,6OO5MJA44V1G0C6AJSB51I4SL8,builds_table,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,6OO5MJA44V1G0C6AJSB51I4SL8,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,6JFC2FOECLOK541THTSG9T5JGR,contains_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6JFC2FOECLOK541THTSG9T5JGR,4MRQBC9S5G1PATILTVJTKIN639,builds_table,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,4MRQBC9S5G1PATILTVJTKIN639,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,4INDJ0QBEFHO6TPVFNN8LOP2DV,contains_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
4INDJ0QBEFHO6TPVFNN8LOP2DV,7JM8O7SKFJIHFCRP7AV24ESSQR,builds_table,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6OJ1RV0RECF7TMUI7K8HU8UG0K,7JM8O7SKFJIHFCRP7AV24ESSQR,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
27FELAFQ7V94G01VKBKLLRID90,29DUOSU1TLLFKGOP1FIP7SUO3F,test_on_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
27FELAFQ7V94G01VKBKLLRID90,P4GBV2JNUIHEM2AOPKKQ6U92V,test_on_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,6JFC2FOECLOK541THTSG9T5JGR,test_on_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,4INDJ0QBEFHO6TPVFNN8LOP2DV,test_on_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,4INDJ0QBEFHO6TPVFNN8LOP2DV,test_on_model,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
