Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,Entity_Type,Entity_Parent_Name,Entity_Parent_Type,coordinate,Snipets
PO7N774GOJPB2J84Q6EC5U8ER,*,Column,20230801172336,20230801172336,99991231000000,PO7N774GOJPB2J84Q6EC5U8ER,1,I,Column,fct_orders,Table,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
3RVOCMQ2NJC6MJAM47GIMMDKQ2,amount,Column,20230801172336,20230801172336,99991231000000,3RVOCMQ2NJC6MJAM47GIMMDKQ2,1,I,Column,fct_orders,Table,`[{"hashCode":"0","x":15,"y":13},{"hashCode":"0","x":15,"y":19}]`,`        sum(amount) as lifetime_value`
5F075UOUC98T1818AMP199BGNC,customer_id,Column,20230801172336,20230801172336,99991231000000,5F075UOUC98T1818AMP199BGNC,1,I,Column,fct_orders,Table,`[{"hashCode":"0","x":11,"y":9},{"hashCode":"0","x":11,"y":20}]`,`        customer_id,`
4D7LVUF54EMFVH1HGJIKLH7HM0,order_date,Column,20230801172336,20230801172336,99991231000000,4D7LVUF54EMFVH1HGJIKLH7HM0,1,I,Column,fct_orders,Table,`[{"hashCode":"0","x":12,"y":13},{"hashCode":"0","x":12,"y":23}]`,`        min(order_date) as first_order_date,`
4RTBMNOHC6GOV31Q6M8VSHSD17,order_id,Column,20230801172336,20230801172336,99991231000000,4RTBMNOHC6GOV31Q6M8VSHSD17,1,I,Column,fct_orders,Table,`[{"hashCode":"0","x":14,"y":15},{"hashCode":"0","x":14,"y":23}]`,`        count(order_id) as number_of_orders,`
2K8D5MQEPCLC979L9RPCNPS8GJ,*,Column,20230801172336,20230801172336,99991231000000,2K8D5MQEPCLC979L9RPCNPS8GJ,1,I,Column,stg_customers,Table,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
57UPAVRUGC6A428091D35ILQ3O,customer_id,Column,20230801172336,20230801172336,99991231000000,57UPAVRUGC6A428091D35ILQ3O,1,I,Column,stg_customers,Table,`[{"hashCode":"0","x":32,"y":12},{"hashCode":"0","x":32,"y":33}]`,`        on customers.customer_id = customer_orders.customer_id`
2C6S0Q9SLIVLSKRKR6HA1SBSCV,first_name,Column,20230801172336,20230801172336,99991231000000,2C6S0Q9SLIVLSKRKR6HA1SBSCV,1,I,Column,stg_customers,Table,`[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":29}]`,`        customers.first_name,`
6JIJ09I6AH0QO5RU906O5GM5VS,last_name,Column,20230801172336,20230801172336,99991231000000,6JIJ09I6AH0QO5RU906O5GM5VS,1,I,Column,stg_customers,Table,`[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":28}]`,`        customers.last_name,`
9F0QUKT7H6D3F87H4QNJLQKJ7,*,Column,20230801172336,20230801172336,99991231000000,9F0QUKT7H6D3F87H4QNJLQKJ7,1,I,Column,CTE-CUSTOMERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
26KUS9EUU1MO25T2VDPMJ7TMHO,CUSTOMER_ID,Column,20230801172336,20230801172336,99991231000000,26KUS9EUU1MO25T2VDPMJ7TMHO,1,I,Column,CTE-CUSTOMERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
PE9QB9K47GFSFBPNTLN35ODHI,FIRST_NAME,Column,20230801172336,20230801172336,99991231000000,PE9QB9K47GFSFBPNTLN35ODHI,1,I,Column,CTE-CUSTOMERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
2PGAHH00L3R1JBICMK990JDKEG,LAST_NAME,Column,20230801172336,20230801172336,99991231000000,2PGAHH00L3R1JBICMK990JDKEG,1,I,Column,CTE-CUSTOMERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
