Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,name,resource_type,unique_id,package_name,root_path,path,original_file_path,description,meta,docs,patch_path,created_at
`7UKO86Q0DGFG6Q58C0UO313V18`,`cents_to_dollars`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`7UKO86Q0DGFG6Q58C0UO313V18`,`1`,`I`,`cents_to_dollars`,`macro`,`macro.jaffle_shop.cents_to_dollars`,`jaffle_shop`,`C:\\Users\\LENOVO\\Desktop\\EonCollective\\dbt\\dbt_fundamentals`,`macros\\cents_to_dollars.sql`,`macros\\cents_to_dollars.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4574616`
`6JTA9NCUM38HIV4I3G4ITTPL8C`,`clean_stale_models`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`6JTA9NCUM38HIV4I3G4ITTPL8C`,`1`,`I`,`clean_stale_models`,`macro`,`macro.jaffle_shop.clean_stale_models`,`jaffle_shop`,`C:\\Users\\LENOVO\\Desktop\\EonCollective\\dbt\\dbt_fundamentals`,`macros\\clean_stale_models.sql`,`macros\\clean_stale_models.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4574616`
`17251QDLTSO0P2MLG9HMP3UMLC`,`grant_select`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`17251QDLTSO0P2MLG9HMP3UMLC`,`1`,`I`,`grant_select`,`macro`,`macro.jaffle_shop.grant_select`,`jaffle_shop`,`C:\\Users\\LENOVO\\Desktop\\EonCollective\\dbt\\dbt_fundamentals`,`macros\\grant_select.sql`,`macros\\grant_select.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4574616`
`2T0N9T497CD1BG50EH6MEEOC67`,`log_results_csv`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`2T0N9T497CD1BG50EH6MEEOC67`,`1`,`I`,`log_results_csv`,`macro`,`macro.jaffle_shop.log_results_csv`,`jaffle_shop`,`C:\\Users\\LENOVO\\Desktop\\EonCollective\\dbt\\dbt_fundamentals`,`macros\\log_results_csv.sql`,`macros\\log_results_csv.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4574616`
`6P0PLMSPTBF6SITU5IAUA1UC1P`,`snowflake__create_table_as`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`6P0PLMSPTBF6SITU5IAUA1UC1P`,`1`,`I`,`snowflake__create_table_as`,`macro`,`macro.dbt_snowflake.snowflake__create_table_as`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`ETBVH16DNEVM816C9G2DFBDUB`,`get_column_comment_sql`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`ETBVH16DNEVM816C9G2DFBDUB`,`1`,`I`,`get_column_comment_sql`,`macro`,`macro.dbt_snowflake.get_column_comment_sql`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`S944RVMUHH70J7O0Q6M42ICGC`,`get_persist_docs_column_list`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`S944RVMUHH70J7O0Q6M42ICGC`,`1`,`I`,`get_persist_docs_column_list`,`macro`,`macro.dbt_snowflake.get_persist_docs_column_list`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`76A5FOBKAM0R13O0UJ7JTH879E`,`snowflake__create_view_as`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`76A5FOBKAM0R13O0UJ7JTH879E`,`1`,`I`,`snowflake__create_view_as`,`macro`,`macro.dbt_snowflake.snowflake__create_view_as`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`73LIA7B84G2LK0QC836B2359FP`,`snowflake__get_columns_in_relation`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`73LIA7B84G2LK0QC836B2359FP`,`1`,`I`,`snowflake__get_columns_in_relation`,`macro`,`macro.dbt_snowflake.snowflake__get_columns_in_relation`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`3UA8UJLIS8SL5L58057DDUFCT`,`snowflake__list_schemas`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`3UA8UJLIS8SL5L58057DDUFCT`,`1`,`I`,`snowflake__list_schemas`,`macro`,`macro.dbt_snowflake.snowflake__list_schemas`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
