Entity_ID;Entity_Name;Entity_Type;Entity_Parent_Name;Entity_Parent_Type;Label;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~ANALYTICS;analytics;Database;5.16.10;DBT_Project;Database;20230801172336;20230801172336;99991231000000;M1DQ9IN95AN7LIVS5AQJRVSC8;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI;DBT_GGITHIRI;Schema;ANALYTICS;Database;Schema;20230801172336;20230801172336;99991231000000;6OJ1RV0RECF7TMUI7K8HU8UG0K;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;fct_orders;Table;DBT_GGITHIRI;Schema;Table;20230801172336;20230801172336;99991231000000;16GAHFER336GTNT752TRIN3QCP;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS;stg_customers;Table;DBT_GGITHIRI;Schema;Table;20230801172336;20230801172336;99991231000000;6OO5MJA44V1G0C6AJSB51I4SL8;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1;CTE-CUSTOMERS-1;With_cte;DEFAULT;Schema;With_cte;20230801172336;20230801172336;99991231000000;75AD4GSDM4D6O258CT9FG1MU8E;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1;CTE-CUSTOMER_ORDERS-1;With_cte;DEFAULT;Schema;With_cte;20230801172336;20230801172336;99991231000000;5LFJVUNMTGHSHQFNFIMBSJT5HS;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1;CTE-FINAL-1;With_cte;DEFAULT;Schema;With_cte;20230801172336;20230801172336;99991231000000;5OQGSS0QEPKO2IOCQOK8VUVEB;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1;CTE-ORDERS-1;With_cte;DEFAULT;Schema;With_cte;20230801172336;20230801172336;99991231000000;39QBLHGLOSORL2TAQ7DLUU81F8;1;I
Snowflake~DEFAULT~DEFAULT~RS-1;RS-1;Select_list;DEFAULT;Schema;Select_list;20230801172336;20230801172336;99991231000000;5S7MO4JV3DH1C1VDKCUHGHD2GP;1;I
Snowflake~DEFAULT~DEFAULT~RS-2;RS-2;Select_list;DEFAULT;Schema;Select_list;20230801172336;20230801172336;99991231000000;2UFNO0IIS23283KC5MDI9RRT3Q;1;I
