Entity_ID;HashKey;EntityHashKey;Attribute;Value;CreateTimeStamp;EFFDT;TERMDT;Version;Status
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS;FUA39TAKO46JA8UOQ9FIDBVHD;16GAHFER336GTNT752TRIN3QCP;coordinate;[{"hashCode":"0","x":6,"y":19},{"hashCode":"0","x":6,"y":52}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS;2TCGEEBFDAL4A9QTIMJML5PK3R;6OO5MJA44V1G0C6AJSB51I4SL8;coordinate;[{"hashCode":"0","x":2,"y":19},{"hashCode":"0","x":2,"y":55}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1;741JCP5LUEIQOERTP9TEQN05QC;75AD4GSDM4D6O258CT9FG1MU8E;coordinate;[{"hashCode":"0","x":29,"y":10},{"hashCode":"0","x":29,"y":19}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1;34L416D2E3G5EC8LG9EJHQHLC7;5LFJVUNMTGHSHQFNFIMBSJT5HS;coordinate;[{"hashCode":"0","x":31,"y":9},{"hashCode":"0","x":31,"y":24}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1;5FJBM4UTO2EB504CRVNB0AQ8R9;5OQGSS0QEPKO2IOCQOK8VUVEB;coordinate;[{"hashCode":"0","x":35,"y":15},{"hashCode":"0","x":35,"y":20}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1;67JH89D579VEFGPBACNMFTFU7G;39QBLHGLOSORL2TAQ7DLUU81F8;coordinate;[{"hashCode":"0","x":16,"y":10},{"hashCode":"0","x":16,"y":16}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-1;4VB2F7EG0S1JCO9RA9MG31JHN6;5S7MO4JV3DH1C1VDKCUHGHD2GP;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-2;PEBGUHN95924NN2OGLV2NN9UQ;2UFNO0IIS23283KC5MDI9RRT3Q;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-3;5F7R7F1OTN9H1RG1502476SVBE;2MG4KALOMJVPIVI3BB67QP73CJ;coordinate;[{"hashCode":"0","x":11,"y":9},{"hashCode":"0","x":15,"y":38}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4;40TPFSJAAJV6I91QP2JH9QQSIV;4TS64US8HOGTUBAU0VN7P9E5PC;coordinate;[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":28,"y":74}];20230801172336;20230801172336;99991231000000;1;I
