SRC_Entity_ID;SRC_Entity_HashKey;SRC_Entity_Type;TGT_Enity_ID;TGT_Entity_Type;TGT_Entity_HASKEY;Entity_Relationship_Type;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~DEFAULT~DEFAULT~RS-4~63~first_order_date;5ILJKO7CQG5VS9A8H5UOH3B9BO;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~74~first_order_date;Column;7UHQBOFEDVSE89RG5H66OGN4C;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;5TBUGKQEDITUOL1BS89517QCG2;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~64~most_recent_order_date;3S3PO94PE191K4H3N0D0HF7H9G;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~75~most_recent_order_date;Column;1Q2S7C7PLUN13TL0255ODGRG50;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2Q6BFPOAV4RKDSGIMDP3LIDH93;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~87~customer_id;65HQUN3LPK36F5TFS1OD9AC4M2;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_0~CUSTOMER_ID;Column;26KUS9EUU1MO25T2VDPMJ7TMHO;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;46IO1MCR92IFB0D9BJ1LFERTF6;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~65~lifetime_value;46DNQ90HA6RA9650E1US872SQE;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~76~lifetime_value;Column;2II30F6FNPT3BTI3M2V6TR1VB;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2HV59E4H53T3JH5HNV1R679RUD;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_1~FIRST_NAME;1EPKUSPMRRBJJEJ87P8ET83HPT;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_1~FIRST_NAME;Column;PE9QB9K47GFSFBPNTLN35ODHI;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2UDHINJ54SR1KK4DK09PNOGOPR;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~66~number_of_orders;543LVS9P6P1ORC2JVGNBS1P54A;Column;Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~77~number_of_orders;Column;3GG7AUV5JIQ7HEKNQ8BH6GK5NV;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;798QMUNQOP8EF8VOE1T6F01ODE;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_2~LAST_NAME;6M16DAU5149QM8HS2TR9QVEN7I;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_2~LAST_NAME;Column;2PGAHH00L3R1JBICMK990JDKEG;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;658TI8T72V4E4KJVMOAV0D2U4;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_0~CUSTOMER_ID;6O7HU25H2DPOO9QHPQ29MKTRJI;Column;Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_0~CUSTOMER_ID;Column;40DMG0K1Q3D358M7U2AM3H8DJC;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6VNLRAEAMRVTAHOLMRU2CVSLU5;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_1~ORDER_DATE;2EDQKDOISGUPV0M70GSBB5NN8D;Column;Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_1~ORDER_DATE;Column;3J6QBS1N2TA4EDLPTG59PKNFAN;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;3FVI5260K9B0VC50IFMQOV565M;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~71~customer_id;1OTR7NMBE4USFHP1JMG7AQDOU6;Column;Snowflake~DEFAULT~DEFAULT~RS-5~80~customer_id;Column;10TC2NV91QQ2VGBHQARTFFE8NP;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;RTEP9B1SCQORLEDNSSUQKM89I;1;I
